пореден номер,заглавие,автор,година,том/част,инвентарен номер
14162,Учебно помагало по лит. за 10 кл.,,,,27080
14163,История на бълг. литература,"Игов,Св.",,,27081
14164,Капитан Драйфус т.3,"Фалк,Виктор",,т.3,27083
14165,Капитан Драйфус т.3,"Фалк,Виктор",,т.3,27084
14166,Просяк.Крадец,"Шоу,Ър.",,,27085
14167,Избр. Творби Сага за т.1,"Голзуърди,Дж.",,т.1,27086
14168,Скитникът евреин ,"Сю,Йожен",,,27088
14169,Павилион за жени,"Бък,Пърл",,,27089
14170,Парижките потайности т.3,"Сю,Йожен",,т.3,27091
14171,Савската царица,"Беноа,Пиер",,,27092
14172,дьо  Ямайка,"Морие,Дафни",,,27093
14173,Сафо,"Доде,Алфонс",,,27094
14174,Ванина Ванини,Стендал,,,27095
14175,Дамата с кадифеното,"Дюма,Ал.",,,27096
14176,Лятото на тяхната,"Ливингстоун,Ж.",,,27097
14177,Да имаш и да нямаш,"Хемингуей,Ърнст",,,27098
14178,Наследникът на лилиите,"Сабатини,Р.",,,27099
14179,Мистерията на,"Саймън,Р.Л.",,,27100
14180,Философия,"Кючуков,Л.",,,27102
14181,Философия,"Кючуков,Л.",,,27103
14182,Дъх от Странджа,"Щилянов,Ст.",,,27106
14183,Основни учения на Библиата,"Тахмисян,Аг.",,,27107
14184,Междинно кацане,"Бочев,Димитър",,,27108
14185,"Нещастна фамилия,Ученик и","Друмев,В.",,,27109
14186,"Нещастна фамилия,Ученик и","Друмев,В.",,,27110
14187,"Нещастна фамилия,Ученик и","Друмев,В.",,,27111
14188,Западноевропейски поети романтици ,,,,27112
14189,Западноевропейски поети романтици ,,,,27113
14190,Еднодневни цв.,"Карасимеонов,Ал.Обич;",,,27114
14191,"Подземията на Сен Жан Д,Акр","Дичев,Ст.",,,27115
14192,Старата къща под кипариса,"Искандер,Ф.",,,27116
14193,Раздвоена личност,"Янев,Любомир",,,27117
14194,Подземна река,"Ангелова,Керана",,,27118
14195,Подземна река,"Ангелова,Керана",,,27119
14196,Римска литература,,,,27120
14197,Истината за,"Кацев-Бурски,Д.",,,27122
14198,Виктор Юго.Творчески,"Генов,Гено",,,27123
14199,Виктор Юго.Творчески,"Генов,Гено",,,27124
14200,Разкази.Вишнева градина,"Чехов,Антон",,,27125
14201,Разкази.Вишнева градина,"Чехов,Антон",,,27126
14202,Златният храм,"Юкио,Мишима",,,27127
14203,Вечерни гласове,"Гинзбург,Наталия",,,27128
14204,Безнадежден случай и др.,"Грийн,Греъм",,,27129
14205,Стихотворения и поеми,"Пушкин,Ал.С.",,,27130
14206,Пощенският рог,"Ленау,Николаус",,,27131
14207,Избрани преводи,"Зидаров,К.",,,27132
14208,Избрани преводи,"Константинов,Алеко",,,27133
14209,Тригонометрия,"Чакъров,Д.",,,27134
14210,Дванадесетте прераждания,"Брънар,Дж.",,,27135
14211,Али Баба и 40 разбойници,,,,27136
14212,Спомени т.2,"Казанова,Дж.",,т.2,27137
14213,Жозеф Балзамо т.1.,"Дюма,Ал.",,т.1.,27138
14214,Двете Диани,"Дюма,Ал.",,,27139
14215,Справочник по физика,,,,27140
14216,Справочник по тригонометрия,,,,27141
14217,Справочник по обща и неорганична химия,,,,27142
14218,Справочник по стереометрия,,,,27143
14219,Да имаш и да нямаш,"Хемингуей,Ърнст",,,27144
14220,Увенчаването,"Попова-Мутафова,Фани",,,27145
14221,Първият годеж на Самуил,"Петканов,К.",,,27146
14222,Спомени т.4-5.,"Казанова,Дж.",,т.4-5.,27147
14223,Сафо,"Доде,Алфонс",,,27148
14224,Лятото на тяхната,"Ливингстоун,Ж.",,,27149
14225,Жозеф Балзамо т.1.,"Дюма,Ал.",,т.1.,27151
14226,Как се влиза в университета,,,,27152
14227,Избр.пр.т.7. Кралят на,"Май,Карл",,,27154
14228,Наследството на,"Роде,Аксел",,,27155
14229,Последният мохикан,"Фенимор,Купър",,,27156
14230,Студентката по химия,"Баум,Вики",,,27157
14231,Джени Герхарт,"Драйзер,Т.",,,27158
14232,Панчатантра,,,,27159
14233,Разговор за фотографията,"Боев,Петър.",,,27160
14234,Таблици на десетичната  класификация,,,,27161
14235,Прангов Мат.  И град. Елементи,"Илиев,Б.",,,27163
14236,Прангов Мат.  И град. Елементи,"Илиев,Б.",,,27164
14237,Прангов Мат.  И град. Елементи,"Илиев,Б.",,,27165
14238,Справочник.Телевизионни интегр,"Николов,Н.",,,27167
14239,Справочник.Телевизионни интегр,"Николов,Н.",,,27169
14240,Справочник.Телевизионни интегр,"Николов,Н.",,,27171
14241,Електрообзавеждане,"Петрунова,Н.",,,27172
14242,Електрообзавеждане,"Петрунова,Н.",,,27173
14243,Електрообзавеждане,"Петрунова,Н.",,,27174
14244,Философия,"Кючуков,Л.",,,27178
14245,Философия,"Кючуков,Л.",,,27180
14246,Философия,"Кючуков,Л.",,,27181
14247,Записки по нова история,"Станев,Н.",,,27182
14248,Записки по нова история,"Станев,Н.",,,27183
14249,Записки по нова история,"Станев,Н.",,,27185
14250,Записки по нова история,"Станев,Н.",,,27188
14251,Кръстев Ел. машини и апарати,"Николова,Евг.",,,27190
14252,История на религиите,"Толев,Ваклуш",,,27193
14253,Речник по електротехника,,,,27194
14254,Приложение на  аналогови,"Соклоф,С.",,,27195
14255,"и,Гибсон Микропроцесори","Ю-Ужен,Лю",,,27196
14256,Ръководство по електро,"Доневска,Л.",,,27197
14257,Градивни елементи,"Щипалов,Б.,И.Апостолов",,,27199
14258,ИМпулсни схеми ч.1,"Димитрова,М.,Ванков",,ч.1,27200
14259,Техническо чертане и...,,,,27201
14260,Помагало по бълг. лит за 11 кл.,,,,27202
14261,Помагало по бълг. лит за 11 кл.,,,,27203
14262,Помагало по бълг. лит за 11 кл.,,,,27206
14263,Тестове по математика,"Трендафилов,Кючуков",,,27207
14264,Информатика,"Швартнер,Йосиф",,,27209
14265,Тестове по химия,"Тодорова,",,,27210
14266,Електротехника и електроника.Учебник,,,,27211
14267,Обща електротехника,"Скринска,Боткова",,,27212
14268,Спътникова телевизия,"Крийт,Б.",,,27213
14269,Пуцаранков Лабораторна практика,"Ваклев,",,,27214
14270,Ръководство за лаб. Практика,"Пандуров,Ст.",,,27215
14271,Ръководство за лаб. Практика,"Пандуров,Ст.",,,27216
14272,Ел. апарати,"Личев,Анг.,Люцканова",,,27217
14273,Произв. на  ел. машини,"Купенов,Д.,Евг.Николова",,,27218
14274,Специални измерв. И лаб.упражнение,,,,27220
14275,Специални измерв. И лаб.упражнение,,,,27221
14276,Недялков Радио и телевизионна,"Проданова,М.,Н.",,,27222
14277,Недялков Радио и телевизионна,"Проданова,М.,Н.",,,27223
14278,Н. Пенчев Радиоприемни,"Младенова,В.,",,,27225
14279,Щърбанов Телевизионна техника,"Конов,К.,",,,27227
14280,Захариева Основи на радио,"Ненов,Г.,",,,27228
14281,Захариева Основи на радио,"Ненов,Г.,",,,27229
14282,Технология на полупро,"Ямахов,Ив.,Кисьов",,,27230
14283,Технология на полупро,"Ямахов,Ив.,Кисьов",,,27231
14284,Микроелектроника,"Велчев,Н.",,,27232
14285,Микроелектроника,"Велчев,Н.",,,27233
14286,Радиопредав. Техника и ,"Тихчев,Хр.",,,27234
14287,Радиопредав. Техника и ,"Тихчев,Хр.",,,27235
14288,Лит. анализи в помощ на у-ците от 8 кл.,,,,27236
14289,Лит. анализи в помощ на у-ците от 8 кл.,,,,27237
14290,Лит. анализи в помощ на у-ците от 9 кл.,,,,27239
14291,Лит. анализи в помощ на у-ците от 10 кл.,,,,27240
14292,Лит. анализи в помощ на у-ците от 10 кл.,,,,27241
14293,Спътникова телевизия,"Крийт,Б.",,,27243
14294,Наръчник по ,"Стефанов,Н.",,,27244
14295,Наръчник по ,"Стефанов,Н.",,,27245
14296,Отклонение,"Димитрова,Бл.",,,27246
14297,Страници за съвр. Бълг. разказвачи,,,,27247
14298,Пишем ли правилно,Бабанец,,,27248
14299,Записки по история на Б-я,"Бобев,Боби",,,27249
14300,Записки по история на Б-я 681-1878,,,,27250
14301,Възрожденски уроци,"Николова,Юлия",,,27251
14302,Страници за Гео Милев,,,,27252
14303,Страници за Йордан Йовков,,,,27253
14304,Страници за съвр. Бълг. поети,,,,27254
14305,Преоценки за кандидат-студентски 2 св.,,,,27255
14306,Преоценки за кандидат-студентски 2 св.,,,,27256
14307,Какво трябва да знаем,"Топалов,Д.,Колев",,,27257
14308,"Примерни тестове по математика,физика",,,,27258
14309,Примерни тестове ч.1,"Патлеева,К.,Воева",,ч.1,27259
14310,Примерни тестове ч.2,"Патлеева,К.,Воева",,ч.2,27261
14311,Примерни тестове ч.2,"Патлеева,К.,Воева",,ч.2,27262
14312,Житие и страдание,Врачански.Софроний,,,27264
14313,Житие и страдание,Врачански.Софроний,,,27265
14314,Житие и страдание,Врачански.Софроний,,,27266
14315,Житие и страдание,Врачански.Софроний,,,27267
14316,Житие и страдание,Врачански.Софроний,,,27268
14317,Житие и страдание,Врачански.Софроний,,,27269
14318,Житие и страдание,Врачански.Софроний,,,27270
14319,Житие и страдание,Врачански.Софроний,,,27271
14320,Житие и страдание,Врачански.Софроний,,,27272
14321,Житие и страдание,Врачански.Софроний,,,27273
14322,Житие и страдание,Врачански.Софроний,,,27274
14323,Житие и страдание,Врачански.Софроний,,,27275
14324,Житие и страдание,Врачански.Софроний,,,27276
14325,Житие и страдание,Врачански.Софроний,,,27277
14326,Житие и страдание,Врачански.Софроний,,,27278
14327,Поезия,"Чинтулов,Добри",,,27279
14328,Житие и страдание,Врачански.Софроний,,,27280
14329,Поезия,"Чинтулов,Добри",,,27281
14330,Житие и страдание,Врачански.Софроний,,,27282
14331,Житие и страдание,Врачански.Софроний,,,27283
14332,Стихотворения,"Бояджиев,Димитър",,,27284
14333,Стихотворения,"Бояджиев,Димитър",,,27285
14334,Н. Фурнаджиев Стих,"Разцветников,Ас.,",,,27286
14335,Н. Фурнаджиев Стих,"Разцветников,Ас.,",,,27287
14336,Поезия и публицистика,"Милев,Гео",,,27288
14337,Поезия и публицистика,"Милев,Гео",,,27289
14338,Стихотворения,"Траянов,Теодо",,,27290
14339,Стихотворения,"Траянов,Теодо",,,27291
14340, Лирика,"Лилиев,Николай",,,27292
14341, Лирика,"Лилиев,Николай",,,27293
14342,Поезия,"Вапцаров,Н.",,,27294
14343,История на България,,,,27296
14344,Електрообзавеждане,"Петрунова,Н.",,,27297
14345,Електрообзавеждане,"Петрунова,Н.",,,27298
14346,Електрообзавеждане,"Петрунова,Н.",,,27299
14347,Електрообзавеждане,"Петрунова,Н.",,,27302
14348,Справочник по електротехника,,,,27303
14349,Справочник по електротехника,,,,27304
14350,Уредите у дома,"Маринова,Н.",,,27305
14351,Уредите у дома,"Маринова,Н.",,,27306
14352,Автоматизация и,"Ванев,Тодоров,Йовкова",,,27307
14353,Автоматизация и,"Ванев,Тодоров,Йовкова",,,27308
14354,"Хидро, пневмо и механо",Пенчев,,,27309
14355,"Хидро, пневмо и механо",Пенчев,,,27310
14356,Маджаров Основи на,,,,27311
14357,Маджаров Основи на,,,,27312
14358,Острието на бръснача,"Моам,С.",,,27313
14359,Вийт,"Бронте,Шарлот",,,27314
14360,Старите дяволи,"Еймис,Кингли",,,27315
14361,Симфония,"Рош,Ел.",,,27316
14362,Царици на нощта,"Мопасан,Ги-дьо",,,27317
14363,Проза.Избрано /Звукозапис/,"Вазов,Ив.",,,27320
14364,Драматургия.Избрано /Звукозапис/,"Вазов,Ив.",,,27321
14365,/Звукозапис/,"Габе,Дора",,,27322
14366, /Звукозапис/,"Йовков,Йордан",,,27324
14367,Поезия и публицистика /Звукозапис/,"Милев,Гео",,,27325
14368,Рачо Стоянов /Звукозапис/,"Костов,Ст.Л.",,,27326
14369,/Звукозапис/,Библия,,,27331
14370,/Звукозапис/,Гогол,,,27332
14371,/Звукозапис/,Молиер,,,27333
14372,/Звукозапис/,"Пушкин,Ал.С.",,,27334
14373,"""През бурите на една...""","Славейков,П.Р.",,,27336
14374,Асансьори и шахти,"Чавушян,Н.К.",,,27337
14375,Асансьори и шахти,"Чавушян,Н.К.",,,27338
14376,Асансьори и шахти,"Чавушян,Н.К.",,,27339
14377,Асансьори и шахти,"Чавушян,Н.К.",,,27340
14378,Асансьори и шахти,"Чавушян,Н.К.",,,27343
14379,Асансьори и шахти,"Чавушян,Н.К.",,,27344
14380,Асансьори и шахти,"Чавушян,Н.К.",,,27345
14381,Асансьори и шахти,"Чавушян,Н.К.",,,27346
14382,Асансьори и шахти,"Чавушян,Н.К.",,,27347
14383,Асансьори и шахти,"Чавушян,Н.К.",,,27348
14384,Асансьори и шахти,"Чавушян,Н.К.",,,27349
14385,Импулсна техника,"Вълков,Дт.",,,27351
14386,Автоматизация,"Драготинов,Ив.Парпулов,Ив.",,,27352
14387,Справочник по алгебра,"Димитрова,П.П.",,,27353
14388,Справочник по тригонометрия,"Димитрова,П.П.",,,27354
14389,Справочник по планиметрия,"Димитрова,П.П.",,,27355
14390,Справочник по обща и,"Райкова,С.,М.Манова",,,27356
14391, Автоматизация,"Драготинов,Ив.",,,27358
14392,Автоматизация на производ,"Калоянов,Груд",,,27360
14393,Задачи по машинно чертане,"Панайотов,К.",,,27361
14394,Св.Серафим Саровски,Архимандрит.Серафим,,,27362
14395,Отец Йоан Кронщатски,Архимандрит.Методий,,,27363
14396,Новий завет.Псалтир,,,,27364
14397,Библия,,,,27365
14398,Нашата вяра,,,,27366
14399,Духовна  пробуда,"Друмева,Валентина",,,27367
14400,Серафим Забравеното лекарство,Архимандрит,,,27368
14401,Агиология,"Ризос,Димитриос",,,27369
14402,Агиология,"Ризос,Димитриос",,,27370
14403,Духовни бисери от светите,"Ибришимов,Г.",,,27371
14404,Справичник по електротехника,"Бинек,В.,Х.Хайбл",,,27372
14405,Кръстев Ел. машини и апарати,"Николова,Евг.",,,27373
14406,Кръстев Ел. машини и апарати,"Николова,Евг.",,,27374
14407,Справочник по стереометрия,"Димитрова,П.",,,27375
14408,Спр. По органична химия,"Райкова,С.",,,27376
14409,Транзистори,"Тауърс,Томас",,,27377
14410,Транзистори,"Тауърс,Томас",,,27378
14411,Руска  класическа лит ч.2,"Анчев,Ангел",,ч.2,27379
14412,Руска  класическа лит ч.2,"Анчев,Ангел",,ч.2,27380
14413,Шели /Звукозапис/,"Байрон,",,,27381
14414,От себепознанието към,"Толстой,Л.Н.",,,27382
14415,,"Ботев,Хр.",,,27383
14416,Сравнителен спр. На руски интегрални,,,,27384
14417,История на първото бълг,"Рънсиман,Стивън",,,27386
14418,Полупроводникова техника ч.2,"Шишков,Ат.",,ч.2,27387
14419,Полупроводникова техника ч.2,"Шишков,Ат.",,ч.2,27389
14420,Полупроводникова техника ч.2,"Шишков,Ат.",,ч.2,27390
14421,Полупроводникова техника ч.2,"Шишков,Ат.",,ч.2,27391
14422,Полупроводникова техника ч.2,"Шишков,Ат.",,ч.2,27392
14423,Полупроводникова техника ч.2,"Шишков,Ат.",,ч.2,27393
14424,Полупроводникова техника ч.2,"Шишков,Ат.",,ч.2,27394
14425,Полупроводникова техника ч.2,"Шишков,Ат.",,ч.2,27395
14426,Ел. машини,"Динов,В.",,,27397
14427,Ръководство за изпитване на ел. машини,,,,27398
14428,Кабелни съобщителни линии,"Пейчев,В.",,,27399
14429,Житие и страдание,Врачански.Софроний,,,27401
14430,Житие и страдание,Врачански.Софроний,,,27403
14431, 150 deutschsprach..,"Assenova,M.",,,27404
14432,Ръководство за практи,"Кръстев,Васил",,,27405
14433,Пуцаранков  Лабораторна,"Ваклев,Ил.,",,,27406
14434,Импулсна техника,"Вълков,Ст.",,,27407
14435,Предаване на данни,"Младенова,Бисера",,,27410
14436,Предаване на данни,"Младенова,Бисера",,,27412
14437,Комутационни системи,"Младенова,Б.,Власарева",,,27413
14438,Комутационни системи,"Младенова,Б.,Власарева",,,27414
14439,Комутационни системи,"Младенова,Б.,Власарева",,,27415
14440,Електроматериалознание,"Петков,Л.",,,27418
14441,Електроматериалознание,"Петков,Л.",,,27419
14442,Електроматериалознание,"Петков,Л.",,,27420
14443,Електроматериалознание,"Петков,Л.",,,27421
14444,Електрообзавеждане на,"Петрунова,",,,27422
14445,Електрообзавеждане на,"Петрунова,",,,27423
14446,Електрообзавеждане на,"Петрунова,",,,27424
14447,Електрообзавеждане на,"Петрунова,",,,27425
14448,Електрообзавеждане на,"Петрунова,",,,27426
14449,Ел. част на ел. централи,"Ваклинов,Божков",,,27427
14450,Алманах 11 клас,,,,27428
14451,Алманах  за 9 клас ч.1,,,ч.1,27429
14452,Алманах  за 9 клас ч.2,,,ч.2,27430
14453,Алманах 10 клас,,,,27431
14454,Проверка  на езиковата култура,,,,27432
14455,Литература за 10 клас,,,,27433
14456,Литература за 11 клас,,,,27434
14457, Полупроводникови,"Доневска,Дойчинова",,,27435
14458, Полупроводникови,"Доневска,Дойчинова",,,27436
14459, Полупроводникови,"Доневска,Дойчинова",,,27437
14460,От космоса срещу,МардиросянГ.,,,27438
14461,Проектиране на ел. уредби,"Рашков,Златенов",,,27439
14462,Проектиране на ел. уредби,"Рашков,Златенов",,,27440
14463,Проектиране на ел. уредби,"Рашков,Златенов",,,27443
14464,Вървят коне по,"Странджански,Н.",,,27444
14465,Реторика.Методика,"Лапена,Иво.",,,27445
14466,Наръчник по охрана на труда. Ел. безопасност,,,,27446
14467,Наръчник по охрана на труда.Условията на труд,,,,27447
14468,Наръчник по охрана на труда.Задължения.Контрол,,,,27448
14469,Наръчник по охрана на труда.Трудовоправни,,,,27449
14470,English,,,,27450
14471,Ctrosswords,,,,27451
14472,Ел.техн. Лаборатория,"Ваклев,Ил.,Ваклева",,,27453
14473,Ел.техн. Лаборатория,"Ваклев,Ил.,Ваклева",,,27454
14474,Бълг. литература,"Атанасов,Вл.Чернокожев",,,27455
14475,Биогр. На бълг. писатели ч.1.,,,ч.1.,27457
14476,Биогр. На бълг. писатели ч.2,,,ч.2,27458
14477,Алманах 8 кл.,,,,27459
14478,Литературни анализи 11 кл.,,,,27460
14479,Войкова Иновационни ,"Маринова,Ив.",,,27461
14480,Войкова Иновационни ,"Маринова,Ив.",,,27462
14481,Речник по нова бълг. л-ра 1878-1992,,,,27463
14482,Поетиката на Йовковия разказ,"Добрев,Д.",,,27465
14483,Интерпретации на клас. Текстове ч.2,,,ч.2,27466
14484,Интерпретации на клас. Текстове ч.1,,,ч.1,27467
14485,Интерпретации на клас. Текстове ч.4,,,ч.4,27468
14486,Бълг. л-ра след 1-вата св.,"Иванов,Живко",,,27469
14487,"За Вас, кандидат-студенти.Избрани",,,,27470
14488,От извора. Лит. проблеми ,,,,27471
14489,Вечната и святата,"Багрян,Ел.",,,27473
14490,Родени един за друг,"Илиев,Ст.",,,27474
14491,Въведение в новата,"Жечев,Тончо",,,27475
14492,Елин-Пелин,"Янев,С.",,,27476
14493,Бразилия,"Ъпдайк,Дж.",,,27477
14494,Паяжина от сънища,"Ендрюс,В.С.",,,27478
14495,Криле,"Тревис,Нийл",,,27479
14496,Дамата от данъчната ,"Лейси,Сара",,,27483
14497,Дивата лятна роза,"Сондърс,Е.Е.",,,27484
14498,Спалнята на дамите,"Бурен,Жан",,,27485
14499, Животът и любовта на жената,"Уелдън,Ф.",,,27486
14500,Ветрове без посоки,"Плейн,Б.",,,27487
14501,Т. Лекарска практика,"Макгрегър,",,,27488
14502,Съпругата - янки,Милър.Л.Л.,,,27489
14503,Таследство от тайни ч.1,"Адлер,Е.",,ч.1,27490
14504,Таследство от тайни ч.2,"Адлер,Е.",,ч.2,27491
14505,Индийското ветрило,"Холт,В.",,,27492
14506,Съвременна бълг. поезия,,,,27493
14507,Съвременна бълг. поезия,,,,27494
14508,Съвременна бълг. поезия,,,,27495
14509,Отсам рая,"Фицджералд,Ск.",,,27497
14510,Богатите са различни ч.1.,"Хауъч,С.",,ч.1.,27498
14511,Богатите са различни ч.2.,"Хауъч,С.",,ч.2.,27499
14512,Честни илюзии,"Робърс,Нора",,,27500
14513,Американска любовна ч.1.,"Джеф,Рона",,ч.1.,27501
14514,Американска любовна ч.2,"Джеф,Рона",,ч.2,27502
14515,Победата,"Джейкс,Дж.",,,27506
14516,Сине мой.. Ч.1,"Спринг,Х.",,Ч.1,27507
14517,Сине мой.. Ч.2,"Спринг,Х.",,Ч.2,27508
14518,Опасно лекарство,ХейлиАр.,,,27509
14519,Руска класическа лит. ч.1,,,ч.1,27512
14520, 150 deutschsprach..,"Assenova,M.",,,27513
14521, 150 deutschsprach..,"Assenova,M.",,,27514
14522, 150 deutschsprach..,"Assenova,M.",,,27515
14523, 150 deutschsprach..,"Assenova,M.",,,27516
14524, 150 deutschsprach..,"Assenova,M.",,,27517
14525,Алън,"Хедсън,К.",,,27521
14526,Брачни свидетелства,"Гарууд,Дж.",,,27524
14527,Пръв сред римляните,"Микълоу,К.",,,27525
14528,"Модна къща ""Елиът""","О,Лири,Ел.",,,27528
14529,Положи я  сред лилиите,"Чейс,Дж.",,,27531
14530,Испанска серенада,"Блейк,Дж.",,,27533
14531,Лилия в нощта,"Бъзби,И.",,,27535
14532,Прокълната любов.Тайните ч.2,"Ууд,Б.",,ч.2,27537
14533,Импулсна техника,"Вълков,Ст.",,,27539
14534,История н Б-я ч.1,Лазаров,,ч.1,27542
14535,Комутационни ,"Младенова,Власарева",,,27545
14536,Комутационни ,"Младенова,Власарева",,,27546
14537,Ръководство за лаб. Упражнения,"Тихчев,Хр.",,,27547
14538, Полупроводникови,"Доневска,Дойчинова",,,27548
14539,Техническо чертане,"Сокачев,Танчев",,,27549
14540,Техническо чертане,"Сокачев,Танчев",,,27550
14541,Техническо чертане,"Сокачев,Танчев",,,27551
14542,Техническо чертане,"Сокачев,Танчев",,,27553
14543,Комутационни ,"Младенова,Емануилов",,,27556
14544,Ръководство за практи,"Кръстев,Васил",,,27559
14545,Ръководство за практи,"Кръстев,Васил",,,27561
14546,Ръководство за практи,"Кръстев,Васил",,,27562
14547,Охрана на труда и противо,Дончев,,,27564
14548,Охрана на труда и противо,Дончев,,,27565
14549,Охрана на труда и противо,Дончев,,,27566
14550,Охрана на труда и противо,Дончев,,,27567
14551,Охрана на труда и противо,Дончев,,,27568
14552,Специални измерв. И лаб.упражнение,,,,27569
14553,Вампир,"Страшимиров,А.",,,27570
14554,Бай Ганьо,"Константинов,Алеко",,,27571
14555,В навечерието,"Тургенев,Ив.С.",,,27572
14556,Теоретична ел. техника ч.2,"Фархи,П.",,ч.2,27573
14557,Теоретична ел. техника ч.3.,"Фархи,П.",,ч.3.,27574
14558,Лит. анализи ,,,,27575
14559,Озвучаването,"Симеонов,Л.",,,27576
14560, Съчинения т. 2,"Яворов,П.К.",,,27577
14561,Прикованият Прометей,Есхил,,,27578
14562, Идилии,"Тодоров,П.Ю.",,,27579
14563,Учебно помагало по лит. за 10 кл.и,,,,27580
14564,Учебно помагало по лит. за 10 кл.и,,,,27581
14565,Алманах 11 клас,,,,27582
14566,Загадка. Повести и разкази за,,,,27583
14567,Лит. анализи за 11 клас,,,,27584
14568,Текстове за изучаване биографии,,,,27586
14569,Бълг. литература,"Атанасов,Вл.Чернокожев",,,27587
14570,Текстове за изучаване биографии,,,,27588
14571,Промишлена електроника,"Бобчева,М.",,,27589
14572,Алманах за 11 клас,,,,27590
14573,Съвременна бълг. поезия,,,,27591
14574,Избрани творби,"Ботев,Хр.",,,27592
14575,Живот по върховете,"Хейли,Ар.",,,27593
14576,Рийгън,"Деверо,Джуд",,,27595
14577,Бавен валс,"Уолър,Рд.",,,27596
14578,Цветя на злото,"Загорова,Лидия",,,27597
14579,Наследство,"Топър,Т.",,,27601
14580,Последна любов,"Чейс,Дж.",,,27603
14581,Богатите също плачат ч.3,,,ч.3,27604
14582,Как да редактираме текст,"Янакиев,М.",,,27605
14583,Златната долина,"Хана,Кр.",,,27607
14584,Изкушенията на съдбата,"Рединг,Ж.",,,27608
14585,Огърлицата,"Макрей,М.",,,27609
14586,Открий престъпника 60 крими,,,,27610
14587,Сенки от миналото,"Браун,С.",,,27613
14588,Фантазия,"Браун,С.",,,27614
14589,Петелът е мъртъв,"Ноу,Ингрид",,,27616
14590,Рози след дъжд,"Едуърдс,К.",,,27617
14591,Бяла пепел,Тиър.М.К.,,,27618
14592,Тайният агент,"Гриъм,Гр.",,,27619
14593,Кеят на злото,"Гриъм,Гр.",,,27620
14594,Случаят с непорочната,"Гарднър,Ърл",,,27621
14595,Ранна възрожденска библ.,,,,27623
14596,Ранна възрожденска библ.,,,,27624
14597,Ранна възрожденска библ.,,,,27625
14598,Нежност,"Стийл,Д.",,,27629
14599,Знакът на съдбата,"Стийл,Д.",,,27631
14600,Жена за милиони,"Майлоу,Дж.",,,27632
14601,Скрити огньове ч.1,"Браун,Сандра",,ч.1,27633
14602,Скрити огньове ч.2.,"Браун,Сандра",,ч.2.,27634
14603,Разпилени от вятъра,"Едрюс,В.С.",,,27640
14604,Шарада,"Браун,Сандра",,,27641
14605,ми,"Гоудж,А.Сестра",,,27642
14606,Модерни жени,"Стоун,К.",,,27643
14607,Fehlersuche,"Stotz,B.Erfolgreiche",,,27645
14608,Телевизия и радио от ,"Заупе,Зигфрид",,,27647
14609,Кратък  българско-англ. политехнически,,,,27648
14610,Импулсна техника,"Вълков,Ст.",,,27649
14611,Импулсна техника,"Вълков,Ст.",,,27650
14612,Преносни системи,"Тодоров,К.",,,27651
14613,Преносни системи,"Тодоров,К.",,,27652
14614,"Дойчинова, Полупроводникови","Доневска,Л.Р.",,,27653
14615,"Дойчинова, Полупроводникови","Доневска,Л.Р.",,,27654
14616,Ел. машини ч.1,"Асса,Жак,Топалова,",,ч.1,27655
14617,Машинно чертане,Сандалски,,,27658
14618,Машинно чертане,Сандалски,,,27659
14619,Машинно чертане,Сандалски,,,27660
14620,Проектиране на ел.,"Агапиев,В.,Д.Пенков",,,27661
14621,Задачи по машинно,"Панайотова,К.",,,27662
14622,Задачи по машинно,"Панайотова,К.",,,27663
14623,Задачи по машинно,"Панайотова,К.",,,27664
14624,Задачи по машинно,"Панайотова,К.",,,27667
14625,Задачи по машинно,"Панайотова,К.",,,27669
14626,Задачи по машинно,"Панайотова,К.",,,27671
14627,Задачи по машинно,"Панайотова,К.",,,27672
14628,Задачи по машинно,"Панайотова,К.",,,27673
14629,Задачи по машинно,"Панайотова,К.",,,27674
14630,Задачи по машинно,"Панайотова,К.",,,27675
14631,Задачи по машинно,"Панайотова,К.",,,27676
14632,Задачи по машинно,"Панайотова,К.",,,27677
14633,Задачи по машинно,"Панайотова,К.",,,27678
14634,Задачи по машинно,"Панайотова,К.",,,27679
14635,Задачи по машинно,"Панайотова,К.",,,27682
14636,Задачи по машинно,"Панайотова,К.",,,27683
14637,Задачи по машинно,"Панайотова,К.",,,27684
14638,Задачи по машинно,"Панайотова,К.",,,27685
14639,Задачи по машинно,"Панайотова,К.",,,27686
14640,Задачи по машинно,"Панайотова,К.",,,27687
14641,Задачи по машинно,"Панайотова,К.",,,27688
14642,Задачи по машинно,"Панайотова,К.",,,27689
14643,Задачи по машинно,"Панайотова,К.",,,27690
14644,Задачи по машинно,"Панайотова,К.",,,27691
14645,Нощна работа,"Шоу,Ър.",,,27692
14646,Кандидатстудентски  разработки  11 клас,,,,27694
14647,От извора,,,,27695
14648,На изпит по история,Илиев,,,27696
14649,Божи работи,"Петров,Ив.",,,27697
14650,Божествено зло,"Робъртс,Н.",,,27699
14651,Младостта на Рет Бътлър,"Редклиф,М.",,,27702
14652,Клонингите се завръщат,"Люцканова,В.",,,27703
14653,Песен за петаче,"Кронин,Арч.",,,27707
14654,Убийци,"Казан,Елиа",,,27708
14655,Защото те обичам,"Браун,С.",,,27709
14656,Ударът,"Гришам,Дж.",,,27710
14657,Безсмъртният,"Зелезни,Р.",,,27711
14658,Английска поезия,,,,27712
